date,ticker,price,decision,reason,sentiment,rsi,confidence
2026-01-17,DOGE-USDT,0.13788,sell,"SELL_MILD: score=-8, RSI=48.8",-0.200,48.78,0.600
2026-01-17,DOT-USDT,2.179,hold,Neutral (score=15),0.400,55.44,0.600
2026-01-17,ETH-USDT,3310.56,sell,SELL_BB: BB=0.80,0.400,62.21,0.600
2026-01-17,LTC-USDT,74.92,sell,SELL: score=-21,-0.600,40.65,0.600
2026-01-17,SOL-USDT,143.72,hold,Neutral (score=22),0.400,61.04,0.700
2026-01-17,XRP-USDT,2.0631,sell,SELL: score=-15,-0.200,50.50,0.600
2026-01-18,ADA-USDT,0.3758,sell,SELL: score=-20,-0.400,44.46,0.600
2026-01-18,BNB-USDT,932.51,hold,Neutral (score=29),0.350,59.42,0.700
2026-01-18,BTC-USDT,93673.14,hold,Neutral (score=29),0.350,55.92,0.650
2026-01-18,DOGE-USDT,0.13164,sell,"SELL_MILD: score=-13, RSI=43.0",-0.400,42.99,0.600
2026-01-18,DOT-USDT,2.065,hold,Neutral (score=9),0.150,48.66,0.550
2026-01-18,ETH-USDT,3284.03,hold,Neutral (score=31),0.450,59.78,0.650
2026-01-18,LTC-USDT,72.29,hold,Neutral (score=-9),-0.650,36.22,0.600
2026-01-18,SOL-USDT,137.87,hold,Neutral (score=25),0.200,51.85,0.600
2026-01-18,XRP-USDT,1.9914,sell,SELL: score=-19,-0.350,45.14,0.600
2026-01-19,ADA-USDT,0.3703,sell,SELL: score=-36,-0.450,42.93,0.550
2026-01-19,BNB-USDT,923.6,hold,Neutral (score=28),0.300,56.04,0.650
2026-01-19,BTC-USDT,92631.0,hold,Neutral (score=28),0.300,51.93,0.600
2026-01-19,DOGE-USDT,0.12916,sell,SELL: score=-17,-0.450,40.92,0.550
2026-01-19,DOT-USDT,2.028,sell,SELL: score=-31,-0.250,46.67,0.500
2026-01-19,ETH-USDT,3189.55,hold,Neutral (score=24),0.150,52.00,0.600
2026-01-19,LTC-USDT,70.8,hold,Neutral (score=0),-0.600,33.96,0.600
2026-01-19,SOL-USDT,133.44,sell,SELL: score=-15,-0.200,46.18,0.600
2026-01-19,XRP-USDT,1.986,sell,SELL: score=-21,-0.450,44.75,0.600
2026-01-20,ADA-USDT,0.3507,hold,Neutral (score=-1),-0.650,37.93,0.600
2026-01-20,BNB-USDT,884.2,sell,SELL: score=-20,-0.400,44.10,0.600
2026-01-20,BTC-USDT,88427.66,hold,Neutral (score=-1),-0.650,39.64,0.600
2026-01-20,DOGE-USDT,0.12336,hold,Neutral (score=-1),-0.650,36.48,0.600
2026-01-20,DOT-USDT,1.897,sell,"SELL_MILD: score=-6, RSI=40.4",-0.650,40.37,0.600
2026-01-20,ETH-USDT,2939.88,hold,Neutral (score=4),-0.450,37.94,0.550
2026-01-20,LTC-USDT,67.12,hold,Neutral (score=9),-0.750,29.13,0.600
2026-01-20,SOL-USDT,125.8,hold,Neutral (score=4),-0.450,38.38,0.550
2026-01-20,XRP-USDT,1.89,hold,Neutral (score=-1),-0.650,38.46,0.600
2026-01-21,ADA-USDT,0.3659,sell,SELL: score=-17,-0.450,43.43,0.550
2026-01-21,BNB-USDT,883.36,sell,"SELL_MILD: score=-8, RSI=43.9",-0.400,43.89,0.600
2026-01-21,BTC-USDT,89454.73,sell,"SELL_MILD: score=-8, RSI=43.2",-0.400,43.18,0.600
2026-01-21,DOGE-USDT,0.12654,hold,Neutral (score=0),-0.400,40.30,0.500
2026-01-21,DOT-USDT,1.955,sell,"SELL_MILD: score=-9, RSI=44.0",-0.450,43.97,0.600
2026-01-21,ETH-USDT,2982.27,hold,Neutral (score=-1),-0.450,40.86,0.550
2026-01-21,LTC-USDT,68.48,hold,Neutral (score=-9),-0.650,32.93,0.600
2026-01-21,SOL-USDT,129.54,sell,"SELL_MILD: score=-8, RSI=43.4",-0.400,43.42,0.500
2026-01-21,XRP-USDT,1.9476,sell,"SELL_MILD: score=-9, RSI=43.6",-0.450,43.58,0.650
2026-01-22,ADA-USDT,0.3594,sell,"SELL_MILD: score=-5, RSI=41.7",-0.600,41.73,0.600
2026-01-22,BNB-USDT,888.06,sell,SELL: score=-15,-0.200,45.49,0.500
2026-01-22,BTC-USDT,89559.67,sell,SELL: score=-25,-0.600,43.54,0.600
2026-01-22,DOGE-USDT,0.12437,hold,Neutral (score=-1),-0.650,38.59,0.600
2026-01-22,DOT-USDT,1.927,sell,"SELL_MILD: score=-14, RSI=42.6",-0.650,42.63,0.600
2026-01-22,ETH-USDT,2952.69,hold,Neutral (score=-1),-0.650,39.46,0.600
2026-01-22,LTC-USDT,68.19,hold,Neutral (score=-9),-0.650,32.53,0.600
2026-01-22,SOL-USDT,128.47,sell,"SELL_MILD: score=-14, RSI=42.3",-0.650,42.35,0.600
